id,ENG,HIN
1251,P O R T T I P A H T A _ R E S E R V O I R,प ो र ् ट ी प ह ट ा _ र ि ज़ र व ा य र
1252,N A D A N,न ा द ा ं
1253,O K A A R,ओ ं क ा र
1254,E T M A D P U R,ई ट म द प ु र
1255,T A R U N,त र ु ण
1256,S O U T H _ A R L I N G T O N _ C H U R C H _ O F _ C H R I S T,स ा उ थ _ अ र ् ल ि ं ग ् ट न
1257,M I K H A I L _ G O R B A C H E V,म ि ख ा इ ल _ ग ो र ् ब ा च े व
1258,B O O D E R E E,ब ू ड े र ी
1259,M I R Z A P U R,म ि र ् ज ़ ा प ु र
1260,A P U R V A A,अ प ू र ् व ा
1261,M A A N A S E E,म ा न स ी
1262,L A N C E _ K L U S E N E R,ल ै न ् स _ क ् ल ू ज न र
1263,A C K L A N D _ A R T _ M U S E U M,अ क ल ै ं ड _ आ र ् ट _ म ् य ु ज़ ि य म
1264,A K A S H,आ क ा श
1265,B I E S Z C Z A D Y,ब ि ज ़ क ् ज ़ ा ड े
1266,K A L A H A R I,क ल ह ा र ी
1267,J O N A T H A N _ W I N T E R S,ज ो न ॅ थ न _ व ि ं ट र ् स
1268,A B D U L _ Q A Y Y O O M,अ ब ् द ु ल _ क य ् य ू म
1269,B A S A R,ब स र
1270,C H I N A _ M E D I C A L _ T E C H N O L O G I E S,च ा इ न ा _ म े ड ि क ल _ ट े क ् न ो ल ॉ ज ि स
1271,W I L L I A M _ S H A K E S P E A R E,व ि ल ि य म _ श े क ् स प ि य र
1272,A H A N K A A R,अ ह ं क ा र
1273,J A G A N,ज ग न
1274,V A R D A,व र ् द ा
1275,A A L I Y A H,आ ल ि य ा ह
1276,M O H A M M A D _ H A F E E Z,म ो ह म ् म द _ ह फ ी ज़
1277,M A N U S E L A,म ा न ु स े ल ा
1278,A Z H A R,अ ज़ ह र
1279,M A H I L,म ा ह ि ल
1280,C H H O T I _ B A H U,छ ो ट ी _ ब ह ू
1281,P H O S P H O R U S,फ ॉ स ् फ ो र स
1282,N A J M A,न ज म ा
1283,D H I R P U R,ध ी र प ु र
1284,B A A W R I,ब ा व र ी
1285,B I R H A _ K I _ R A A T,ब ि र ह _ क ी _ र ा त
1286,T A R U N _ B H A R A T,त र ु ण _ भ ा र त
1287,P I N S O N _ P A R K _ B A P T I S T,प ि ं स न _ प ा र ् क _ ब ै प ट ि स ् ट
1288,S R I _ K A L A H A S T I,श ् र ी _ क ा ल ह स ् त ी
1289,D I P A K,द ी प क
1290,B A D R E E P R A S A D,ब द ् र ी प ् र स ा द
1291,F R E E D O M _ A W A R D,फ ् र ी ड म _ अ व ा र ् ड
1292,B U L G A R I A,ब ु ल ् ग ा र ि य ा
1293,A N T I M O N Y,ए ं ट ी म न ी
1294,T A Y Y I B A H,त य ् य ि ब ा ह
1295,J A L G A O N,ज ल ग ा ं व
1296,D I W A N A,द ी व ा न ा
1297,R A C H E L L E,र श े ल
1298,V I D W A N S,व ि द ् व ा ं स
1299,R A H G E E R,र ा ह ग ी र
1300,B O I N D A,ब ो इ ं द ा
1301,G A N A N A A Y A K,ग ण न ा य क
1302,T H E _ L I V I N G _ W E L L _ U N I T E D _ M E T H O D I S T,द _ ल ि व ि ं ग _ व े ल _ य ू न ा इ ट े ड _ म े थ ो ड ि स ् ट
1303,C H A N G E Z _ K H A N,च ं ग े ज ़ _ ख ा न
1304,C H A N G E Z _ K H A N,च ं ग े ज़ _ ख ा न
1305,A B U _ M A N S U R _ D A Q I Q I,अ ब ू _ म ं स ू र _ द क़ ी क़ ी
1306,H E M R A J,ह े म र ा ज
1307,T A M B R E,ट े म ् ब ् र े
1308,H I S A R,ह ि स ा र
1309,O A I S A R A,ओ ऐ स ा र ा
1310,K A N H E R E,क ा न ् ह े र े
1311,A R P A N A,अ र ् प ण ा
1312,B H I N D R A,भ ि ं ड र ा
1313,M A R C U S,म ा र ् क स
1314,G A N D H A P A L I N,ग ं ध प ा ल ि न
1315,B O N E S T E L L,ब ॉ न स ् ट े ल
1316,T I E R N E Y,ट ि ए र ् न ी
1317,B O E I N G,ब ो ई ं ग
1318,N A B H A N,न भ न
1319,P E E R S,प ी अ र ् स
1320,J A C A D A,ज क ा ड ा
1321,B H A T O N _ K I _ G A L I,भ ट ो ं _ क ी _ ग ल ी
1322,C O N G O,क ा ँ ग ो
1323,R A A G I N I,र ा ग ि न ी
1324,M A R I E L,म ै र ि ए ल
1325,K A D A N B A K,क द ं ब क
1326,V I R A A M,व ि र ा म
1327,A S I A,आ स ि य ा
1328,A S I A,ए श ि य ा
1329,B R O M O _ T E N G G E R,ब ् र ो म ो _ ट े न ग ् ग र
1330,J H U M R O O,झ ु म र ू
1331,H A J J I _ B E K T A S H _ W A L I,ह ा ज ी _ ब े क त ा श _ व ा ल ी
1332,B E T H A N Y _ E V A N G E L I C A L _ F R E E,ब े थ ा न ी _ ए व न ग े ल ि क ल _ फ ़ ् र ी
1333,J A C K _ R I C H A R D S,ज ै क _ र ि च र ् ड ् ‍ स
1334,F E A R G H U S,फ ि य र ग स
1335,G U R U D W A R A _ N A G I N A _ G H A T,ग ु र ू द ् व ा र ा _ न ग ी न ा _ घ ा ट
1336,T E R R A _ N O V A,ट े र ा _ न ो व ा
1337,H A R U N,ह ा र ू न
1338,D A V I D _ B O O N,ड े व ि ड _ ब ू न
1339,C A L L _ G I R L,क ॉ ल _ ग र ् ल
1340,A R P A N A A,अ र ् प ण ा
1341,T U M _ P A R _ H U M _ Q U A R B A N,त ु म _ प र _ ह म _ क ़ ु र ् ब ा न
1342,L A Y Y A H,ल य ् य ा ह
1343,P U R A N I K,प ु र ा ण ि क
1344,S M O U T A K K E R,स ् म ा उ ट ा क े र
1345,B H I M A L,भ ी म ल
1346,I ^ D I Y A A,इ ं ड ि य ा
1347,E V E R E A D Y _ I N D,ए व र े ड ी _ इ ं ड स ् ट ् र ी ज ़
1348,U J E S H _ R A N C H O D,उ ज े श _ र े ं च ड
1349,P A I S E,प ै स े
1350,K E E M A T,क ी म त
1351,D O R E,ड ो र
1352,A B D U L _ M U H A Y A M I N,अ ब ् द ु ल _ म ु ह ा य म ी न
1353,H E L L E _ J O E L _ O S M E N T,ह े ल े _ ज ो ए ल _ ऑ स म े ं ट
1354,D A L E L,द ल े ल
1355,S I N H A R A J A _ F O R E S T _ R E S E R V E,स ि ं ह र ा ज ा _ फ ॉ र े स ् ट _ र ि ज ़ र ् व
1356,A B H I R A A M,अ भ ि र ा म
1357,D A I N I K _ J U G A S A N K H A,द ै न ‍ ि क _ ज ु ग स ं ख ा
1358,P U R A B _ A U R _ P A S H C I M,प ू र ब _ औ र _ प श ् च ि म
1359,F I O R E L L O,फ ि य ो र े ल ो
1360,C A S P E R _ C O M M U N I T Y,क ै स ् प र _ क म ् य ु न ि ट ी
1361,B R O O K,ब ् र ू क
1362,D A L E R,द ल े र
1363,E M E R Y,ए म र ी
1364,S A R N A,स र न ा
1365,T A R Y N,ट ै र ि न
1366,C H A N C H A L,च ं च ल
1367,B O N C E L L E S _ F O R T,ब ॉ न ् स े ल े स _ फ ो र ् ट
1368,J A H M,ज ह ् म
1369,G A D O L I N I U M,ग ै ड ो ल ी न ि य म
1370,X O N G O,ज़ ो ं ग ो
1371,J U N I P E R,ज ु न ि प र
1372,D H A U L P U R,ध ौ ल प ु र
1373,N A S A _ M E D A L _ F O R _ E X C E P T I O N A L _ S C I E N T I F I C _ A C H I E V E M E N T,न ा स ा _ म े ड ल _ फ ॉ र _ ए क ् स े प ् श न ल _ स ा इ ं ट ी फ ि क _ अ च ी व म े ं ट
1374,K E L L I,क े ल ी
1375,K I N G F I S H E R,क ि ं ग फ ़ ि श र
1376,U N I V E R S I T Y _ O F _ N E B R A S K A,य ू न ि व र ् स ि ट ी _ ऑ फ _ न े ब ् र ा स ् क ा
1377,E M I L I O,ए म ि ल ि ओ
1378,P R A B O D H _ C H A N D R A,प ् र ब ो ध _ च न ् द ् र
1379,A U L A D _ K E _ D U S H M A N,औ ल ा द _ क े _ द ु श ् म न
1380,V A L L A R I,व ल ् ल र ी
1381,H E N L Y,ह े न ल ी
1382,C H I P L U N K A R,च ि प ल ू ण क र
1383,M E R I W E T H E R,म े र ि व े द र
1384,E M I L Y _ H A R R I S,ए म ि ल ी _ ह ॅ र ि स
1385,L A T I K A,ल त ि क ा
1386,D I P L A N A,द ि प ल ा न ा
1387,B A L E E,ब ा ल ी
1388,M U H A M M A D E E,म ु ह म ् म द ी
1389,S A F F A R,स फ र
1390,C R O N O S _ G R O U P,क ् र ॉ न ो स _ ग ् र ु प
1391,R A V I _ R A T N A Y E K E,र व ि _ र त ् न ा य क े
1392,S A T I _ A N J A N I,स त ी _ अ ं ज न ी
1393,M A S T E R _ M A N,म ा स ् ट र _ म ै न
1394,L A N K E S H V A R,ल ं क े श ् व र
1395,G W A L P A D A,ग ् व ा ल प ा ड ा
1396,L A G A N,ल ग न
1397,L A G A N,ल ग ा न
1398,I K H L A S,इ ख ल ा स
1399,D A I ' E I,द ै ई
1400,A M A R _ S I N G H _ R A T H O D,अ म र _ स ि ं ह _ र ा ठ ौ ड़
1401,D O R N A K A L _ J U N C T I O N,द ो र न ा क ल _ ज ं क ् श न
1402,E E N T _ K A _ J A W A B _ P A T T H A R,ई ं ट _ क ा _ ज व ा ब _ प त ् थ र
1403,K A M L E S H,क म ल े श
1404,P R A B I R,प ् र ब ी र
1405,G U R U D W A R A _ G O W I N D W A L _ S A H I B,ग ु र ू द ् व ा र ा _ ग ो व ि ं द व ा ल _ स ा ह ि ब
1406,S H A T A D H A A R,श त ध ा र
1407,B U D A L U R,ब ु द ा ल ु र
1408,L E I G H N A,ल ै ग ़ न ा
1409,M E N G K U A N G _ D A M,म े ं ग क ् व ा ं ग _ ड ै म
1410,T R E N T O N,ट ् र े ं ट न
1411,V I N E E T A,व ि न ी त ा
1412,M U R S H I D,म ु र ् श ी द
1413,B H U V A N E S W A R I _ H I N D U,भ ु व न े स ् व र ी _ ह ि न ् द ू
1414,A L B E R T S O N S,ए ल ् ब र ् ट स न ् स
1415,K R I S H N A K A N T A,क ृ ष ् ण क ा ं त ा
1416,V A R T A N,व ा र ् ट न
1417,K H A M O S H,ख ा म ो श
1418,S H A H _ B E H R A M,श ा ह _ ब े ह र ा म
1419,T A R A N G I R E,त र ा ं ज ि र े
1420,A Z A R A Q E E,अ ज़ र ा क ी
1421,R A G H U N A A T H,र घ ु न ा थ
1422,R A W D A H,र ौ द ा ह
1423,S H Y A A M A T A A,श ् य ा म त ा
1424,A B D U S _ S A M I,अ ब ् द ु स _ स ा म ी
1425,P A R A S _ M H A M B R E Y,प ा र स _ म ् ह ा ं ब ् र े
1426,M O H I N D E R _ A M A R N A T H,म ो ह ि ं द र _ अ म र न ा थ
1427,J E R E M Y _ C A S T L E,ज ै र े म ी _ क ै स ल
1428,A M O O L Y,अ म ू ल ् य
1429,G U R U D W A R A _ T I B B I _ S A H I B,ग ु र ू द ् व ा र ा _ ट ि ब ् ब ी _ स ा ह ि ब
1430,G E N E T I C _ T E C H N O L O G I E S,ज े न े ट ि क _ ट े क ् न ो ल ॉ ज ी ज ़
1431,V E S T E _ R O S E N B E R G,व े स ् ट _ र ो ज न ब र ् ग
1432,P A U L _ A N D _ A L E X A N D R A _ C A N E L L O P O U L O S _ M U S E U M,प ॉ ल _ ए ण ् ड _ ए ल े क ् ज ़ े ं ड ् र ा _ क ै न ल ो प ॉ ल स _ म ् य ु ज़ ि य म
1433,A N N E T T E,ए न े ट
1434,R A T N A P R A B H A,र त ् न प ् र भ ा
1435,A A Y U S H M A T I,आ य ु ष ् म त ि
1436,M A R T I N _ S N E D D E N,म ा र ् ट ि न _ स ् न े ड न
1437,L A L _ P A T T H A R,ल ा ल _ प त ् थ र
1438,S T E V E _ M A R T I N,स ् ट ी व _ म ा र ् ट ि न
1439,E D A K K A D,इ द ा क ् क ् ड ़
1440,A R A V A N K A D U,अ र ा व ा ं क ड ु
1441,P A N _ A M E R I C A N _ S I L V E R,प ै न _ अ म े र ि क न _ स ि ल ् व र
1442,J W A L A _ D A K U,ज ् व ा ल ा _ ड ा क ू
1443,G E O R G I A,ज ा र ् ज ि य ा
1444,G E O R G I A,ज ॉ र ् ज ि य ा
1445,B A L I _ B A R A T,ब ा ल ी _ ब ा र त
1446,K A L E E M,क ल ी म
1447,M E H A K,म ह क
1448,E A V A N,इ व ा न
1449,L E N,ल े न
1450,M A N M A T H,म न ् म थ
1451,S U S H O B H A N A,स ु श ो भ न ा
1452,S I J U _ D O B H A K O L,स ि ज ु _ द ो भ ा क ो ल
1453,S A N S A R,स ं स ा र
1454,I R A W A T I,इ र ा व त ी
1455,V A N A J A,व न ज ा
1456,S T E V E N _ J A C K,स ् ट ी व न _ ज ै क
1457,E U R O,य ु र ो
1458,Z O C H A,ज़ ो च ा
1459,U H B A N,उ ह ब न
1460,B A R B A R A _ B O X E R,ब ा र ब र ा _ ब ॉ क ् स र
1461,L A P T E V,ल ै प ट े व
1462,J A L A U N,ज ा ल ौ न
1463,C A J O N,क ै ज न
1464,N A G A R,न ा ग र
1465,M I L E S,म ि ल े स
1466,Z A H I D A H,ज़ ह ी द ा ह
1467,E I S N E R _ A W A R D S,ई स ् न र _ अ व ा र ् ड ् ‍ स
1468,R I D I N G _ M O U N T A I N,‍ र ा य ड ि ं ग _ म ा उ ं ट न
1469,A S H N A,आ श न ा
1470,A A N A N D I,आ न ं द ी
1471,K A M E S H,क ा म े श
1472,K H A D I L K A R,ख ा ड ि ल क र
1473,F O R T _ L E _ V I E U X,फ ो र ् ट _ ल े _ व ् य ु क ् स
1474,S A M P A D A,स म ् प द ा
1475,M E E N A A,म ी न ा
1476,S H A W,श ॉ
1477,C O X,क ॉ क ् स
1478,F O R T - D E - F R A N C E,फ ो र ् ट - ड े - फ ् र ा ं स
1479,F O X,फ ॉ क ् स
1480,C H I N A _ T E L E C O M M U N I C A T I O N S,च ा इ न ा _ ट े ल ी क म ् य ु न ि क े श ं स
1481,G O P I C H A N D,ग ो प ी च न ् द
1482,M A N G A L _ P A N D E Y,म ं ग ल _ प ा ं ड े
1483,R O M A,र ो म ा
1484,M A Y A,म ा य ा
1485,R H O N A,र ो न ा
1486,M A N D A L,म ं ड ल
1487,C H E N N A I,च े न ् न ई
1488,A N J A A M _ K H U D A _ J A N E,अ ं ज ा म _ ख ु द ा _ ज ा न े
1489,M I A M I _ U N I V E R S I T Y,म ि य ा म ी _ य ू न ि व र ् स ि ट ी
1490,A M O R Y,ए म ो र ी
1491,S O M B R E,स ो म ् ब ् र े
1492,B A H I R,ब ह ि र
1493,D I O N N E,ड ि य ो न
1494,A N H E U S E R _ B U S C H,ए न ् ह ् य ू स र _ ब ु श
1495,L A B R A D O R,ल े ब ् र ा ड ो र
1496,M A K I A,म ल ् ल ि क ा
1497,M A R K _ W A U G H,म ा र ् क _ व ॉ
1498,D A G A N,द ग न
1499,T H E _ P I O N E E R _ ( D A I L Y ),द _ प ा य ो न ‍ ि य र _ ( ड े ल ी )
1500,K I L E Y,क ि ल े
1501,G E O F F _ A R N O L D,ज ि ऑ फ _ आ र न ॉ ल ् ड
1502,M A A D H U R E E,म ा ध ु र ी
1503,H E E R A,ह ी र ा
1504,S T A N L E Y,स ् ट े न ल ी
1505,A A K H R I _ G O L I,आ ख ि र ी _ ग ो ल ी
1506,M A D H A V I,म ा ध व ी
1507,M E E T _ O N E _ G R E E T _ O N E,म ी ट _ व न _ ग ् र ी ट _ व न
1508,T A N U S H R I,त न ु श ् र ी
1509,M A Y S U N,म े स न
1510,P R I N C E S S _ A L I C E,प ् र ि ं स े स _ ए ल ि स
1511,S U T A N U K A,स ु त न ु क ा
1512,M O R N E _ V A N _ W Y K,म ॉ र ् न _ व े न _ व ी क
1513,D A L G A O N,ड ल ग ा ं व
1514,C O L I M A,क ो ल ी म ा
1515,T A Y Y E B,त य ् य ब
1516,B O O S T E R S,ब ू स ् ट र ् स
1517,A D I T Y A V A R D H A N,आ द ि त ् य व र ् ध न
1518,R E V O L T _ I N _ T H E _ V E N D E E,र ि व ॉ ल ् ट _ इ न _ द _ व े ं ड ी
1519,K U S H A L,क ु श ल
1520,A B H E E R,अ भ ी र
1521,R A M A _ O _ R A M A,र ा म ा _ ओ _ र ा म ा
1522,R O L A N D _ B U T C H E R,र ॉ ल े ं ड _ ब ु च र
1523,W A R _ B E T W E E N _ B R A N D E N B U R G _ A N D _ S W E D E N,व ा र _ ब ि ट ् व ी न _ ब ् र े ड न ब र ् ग _ ए ण ् ड _ स ् व ी ड न
1524,F O R T _ C A R R O L L,फ ो र ् ट _ क ै र ॉ ल
1525,K A L A _ S A M U N D A R,क ा ल ा _ स म ं द र
1526,Z A H O O R _ E L A H I,ज़ ह ू र _ इ ल ा ह ी
1527,E K C H A R I,इ क च र ी
1528,N A G E N D R A,न ग े ं द ् र
1529,H I N S D A L E,ह ि ं स ् ड े ल
1530,B O L I V I A,ब ो ल ि व ि य ा
1531,L O K A D I,ल ो क ा द ि
1532,S A L,स ल
1533,S H R A D H A N J A L I,श ् र द ् ध ा ं ज ल ि
1534,S I Y A S A T,स ‍ ि य ा स त
1535,S A R N A T H,स ा र न ा थ
1536,K H U W A Y L A H,ख ु व य ल ा ह
1537,F I N E E N,फ ि न ी न
1538,B A R S O L A,ब र स ो ल ा
1539,C H I N T A M A N I,च ि ं त ा म ण ि
1540,C H I N T A M A N I,च ि ं त ा म ण ी
1541,L U C I N D A,ल ् य ू स ि ं ड ा
1542,"S C O T T I S H _ C H U R C H _ C O L L E G E , _ C A L C U T T A","स ् क ॉ ट ‍ ि श _ च र ् च _ क ॉ ल े ज , _ क ै ल क ट ा"
1543,H O L L I N G T O N,ह ॉ ल ि ं ग ट न
1544,M A R M I T,म र ् म ि त
1545,G R A M M Y _ A W A R D,ग ् र ै म ी _ अ व ा र ् ड
1546,P E D R O _ C O L L I N S,प े ड ् र ो _ क ॉ ल ि ं स
1547,S U N D A Y _ C O M M U N I C A T I O N S _ L I M I T E D,स न ड े _ क म ् य ु न ि क े श ं स _ ल ि म ि ट े ड
1548,S O M A P A A L,स ो म प ा ल
1549,F O R T _ B U C H A N A N,फ ो र ् ट _ ब ु क न न
1550,O Z A A F A R,ओ ज़ ा फ र
1551,B A L Y O G I _ U P M A N Y U,ब ा ल य ो ग ी _ उ प म न ् य ु
1552,C H A R A N G O,क र ै ं ग ो
1553,M I H I R,म ि ह ि र
1554,S H A S H I B A L A,श श ि ब ा ल ा
1555,B A R U A,ब र ु आ
1556,C H A I L Y N,च ा इ ल ि न
1557,E V A N T H E,इ व ा ं थ
1558,I S H W A R,ई श ् व र
1559,K A R S T A D T Q U E L L E,क र ् स ट ड क ् व ै ल े
1560,H A M A R I _ B A H U _ A L K A,ह म ा र ी _ ब ह ू _ अ ल ् क ा
1561,A J E E B A A H,अ ज ी ब ा ह
1562,A L O A R A K H,अ ल ौ र ख
1563,F A H I M,फ ह ी म
1564,D E V V R A T,द े व व ् र त
1565,P U R A N I _ P E H C H A N,प ु र ा न ी _ प ह च ा न
1566,M A N I B A N D H,म ण ि ब ं ध
1567,K A R I A K O I L _ R E S E R V O I R,क र ि य ा क ो इ ल _ र ि ज़ र व ा य र
1568,A R I H A N T,अ र ि ह ं त
1569,G A V A N,ग ै व ा न
1570,C E N T S,स े ं ट ् स
1571,K A A R T A V E E R Y,क ा र ् त व ी र ् य
1572,M A N S U R,म ं स ू र
1573,M I S S _ C O C A _ C O L A,म ि स _ क ो क ा _ क ो ल ा
1574,U D A Y,उ द य
1575,S H I P P I N G _ C O R P,श ि प ि ं ग _ क ॉ र ् प
1576,C H A R B A G H _ R A I L W A Y _ S T A T I O N,च ा र ब ा ग _ र े ल ् व े _ स ् ट े श न
1577,A B B O T T _ I N D I A,ए ब ॉ ट _ इ ं ड ि य ा
1578,S E K E R E,स े क र े
1579,K E S A R I,क े स र ी
1580,D H U L A J E E,ध ु ल ज ी
1581,U J U N G _ K U L O N,उ ज ु ं ग _ क ु ल ो न
1582,G R O V E R,ग ् र ो व र
1583,B A G H A W A T,ब ग ा व त
1584,L O W E R _ S A X O N Y _ W A D D E N _ S E A,ल ो व र _ स े क ् ज ़ ॉ न ी _ व ै ड न _ स ी
1585,H A Z A R I B A G H,ह ज ा र ी ब ा ग
1586,S A D A N A N D,स द ा न न ् द
1587,B A N Q I A O _ D A M,ब ै ं क ि य ा ओ _ ड ै म
1588,Q U T A Y Y A H,क ु त य ल ा ह
1589,M A R D A N G I,म र ् द ा ं ग ी
1590,M A N M U K H A N I,म न म ु ख ा न ी
1591,G Y A N D A,ज ् ञ ा न द ा
1592,K U S U M A K A R,क ु स ु म ा क र
1593,S H I K S H A,श ि क ् ष ा
1594,F A T I M A,फ ा त ि म ा
1595,I S M A ' I L,इ स ् म ा ' ई ल
1596,S U N D A R A M _ F A S T E N E R S,स ु ं द र म _ फ ़ ा स ् ट न र ् स
1597,K A N E T K A R,क ा न े ट क र
1598,J A M E S _ D E A N,ज े म ् स _ ड ी न
1599,D E S H O N N A T I,द े श ो न ् न त ‍ ि
1600,J O R J A N N A,ज ो र ् ज न ा
1601,U N I V E R S I T Y _ O F _ E A S T _ A N G L I A,य ू न ि व र ् स ि ट ी _ ऑ फ _ ई स ् ट _ ए ं ग ् ल ि य ा
1602,G U L D H A R,ग ु ल ध र
1603,T H E T I S,थ े ट ि स
1604,B I D A R,ब ि द र
1605,L E A R,ल ी य र
1606,C H I T K A L A,च ि त क ल ा
1607,G A U T A M E E,ग ौ त म ी
1608,E A M O N,ई म ॉ न
1609,P E A R S E _ M U S E U M,प ‍ ि य र ् स _ म ् य ु ज़ ि य म
1610,L A C K _ W A L E S A,ल ॅ क _ व ॉ ल े ं स ा
1611,A R I Y A L U R,अ र ि य ा ल ु र
1612,J O H A R _ I N _ K A S H M I R,ज ौ ह र _ इ न _ क श ् म ी र
1613,K R I P A,क ृ प ा ल
1614,R O C K F O R D,र ॉ क फ ़ ो र ् ड
1615,B R Y A N _ Y O U N G,ब ् र ा य न _ य ं ग
1616,P H I L I P P I N E _ B A N K _ O F _ C O M M U N I C A T I O N,फ ि ल ी प ी न _ ब ै ं क _ ऑ फ _ क म ् य ू न ि क े श ं स
1617,C H I K B A L A P U R,च ि क ब ल प ु र
1618,P I Y A _ M I L A N _ K I _ A A S,प ि य ा _ म ि ल न _ क ी _ आ स
1619,N A S S E R _ H U S S A I N,न ा स ि र _ ह ु स ै न
1620,J I M M Y _ C O O K,ज ि म ् म ी _ क ु क
1621,M E K O N G,म े क ा ँ ग
1622,M E K O N G,म े क ॉ न ् ग
1623,J A N I A,ज ै न ि य ा
1624,R U T H _ B A D E R _ G I N S B U R G,र ू थ _ ब ॅ ड र _ ज ि ं स ब र ् ग
1625,R A A M A V E E R,र ा म व ी र
1626,G A T I T A,ग त ि त ा
1627,L A _ R A S P A,ल ा _ र ै स ् प ा
1628,A A Y I _ Y A A D _ T E R I,आ ई _ य ा द _ त े र ी
1629,J A K A R T A,ज क ा र ् त ा
1630,E V A N G E L I A,इ व े ं ज े ल ि य ा
1631,K A R A,क ा र ा
1632,K A R A,क ै र ा
1633,X E R X E S,ज ़ े र क ् स े स
1634,N A R A,न ा र ा
1635,S A D H A N,स ा ध न
1636,T A M B U R I T Z A,त म ् ब ु र ि ट ् ‍ ज ़ ा
1637,C A R A,क ा र ा
1638,D A R A,द र ा
1639,D A R A,द ा र ा
1640,E A R A,ई र ा
1641,B U K I T _ B A K A _ B U K I T _ R A Y A,ब ु क ि ट _ ब ा क ा _ ब ु क ि ट _ र ा य ा
1642,N A N D A L A A L,न ं द ल ा ल
1643,C L I F F O R D,क ् ल ि फ ो र ् ड
1644,A Y Y U B,अ य ् य ू ब
1645,H I S H A M _ K A B B A N I,ह ि श ा म _ क ब ् ब ा न ी
1646,J A P A N _ A I R L I N E S,ज प ा न _ ए य र ल ा इ ं स
1647,D I V O R C E,ड ा इ व ो र ् स
1648,S E A B O R G I U M,स ी ब ो र ् ज ि य म
1649,H I D A Y A T _ I N A Y A T _ K H A N,ह ि द ा य त _ इ न ा य त _ ख ा न
1650,S R I _ S H A K T I,श ् र ी _ श क ् त ी
1651,N E W _ S P R I N G S _ C H R I S T I A N,न ् य ू _ स ् प ् र ि ं ग ् स _ क ् र ि श ् च ि य न
1652,J A W A N I _ K E _ G U N A H,ज व ा न ी _ क े _ ग ु न ा ह
1653,D O N E L L E,ड ो न े ल
1654,A N A I K U T T A M _ R E S E R V O I R,अ न इ क ु ट ् ‍ ट म _ र ि ज़ र व ा य र
1655,D H U L K O T,ध ु ल क ो ट
1656,M A R K _ D E K K E R,म ा र ् क _ ड े क ् क र
1657,K I R K W O O D,क र ् क व ु ड
1658,P O L Y P L E X,प ॉ ल ी प ् ल े क ् स
1659,S A H E B _ B I W I _ A U R _ G U L A M,स ा ह ब _ ब ी व ी _ औ र _ ग ु ल ा म
1660,U N I V E R S I T Y _ O F _ B I R M I N G H A M,य ू न ि व र ् स ि ट ी _ ऑ फ _ ब र ् म ि ं घ म
1661,C R Y P T O L O G I C,क ् र ि प ् ट ो ल ॉ ज ि क
1662,D H E K N E,ढ े क ण े
1663,F O R T _ O R D,फ ो र ् ट _ ऑ र ् ड
1664,G U R U D W A R A _ M A T A _ G U J R I _ J I,ग ु र ू द ् व ा र ा _ म ा त ा _ ग ु ज र ी _ ज ी
1665,C A T R I O N A,क ै ट ् र ी ओ न ा
1666,G U R U D W A R A _ C H H I H A R T A _ S A H I B,ग ु र ू द ् व ा र ा _ छ ि ह र ट ा _ स ा ह ि ब
1667,B A D R E E,ब द ् र ी
1668,B H U J,भ ु ज
1669,C H I T R A D U R G,च ि त ् र द ु र ् ग
1670,S U L A G T E _ A R M A N,स ु ल ग त े _ अ र म ा न
1671,Z E A,ज़ ि य ा
1672,R I C A R D O _ P O W E L L,र ि क ा र ् ड ो _ प ॉ व े ल
1673,R A C H N A,र च न ा
1674,A A B H E E R,आ भ ी र
1675,N E H E M I A H _ P E R R Y,न े ह म ि य ा ह _ प े र ी
1676,L E O N A R D O _ D I _ V I N C I,ल ि य ो न ा र ् ड ो _ द _ व ि ं न ् स ी
1677,A A M E R _ N A Z I R,आ म े र _ न ा ज़ ि र
1678,M U K T I,म ु क ् त ि
1679,S H A F A A T,श फ ा त
1680,Q A Y L A H,क य ल ा ह
1681,E K _ C H A D A R _ M A I L I _ S I,ए क _ च ा द र _ म ै ल ी _ स ी
1682,J A C Q U E S,ज ै क स
1683,E K _ S E _ B H A L E _ D O,ए क _ स े _ भ ल े _ द ो
1684,B H O O M I K A,भ ू म ि क ा
1685,L I A M,ल ि य ा म
1686,S A U _ S A A L _ B A A D,स ौ _ स ा ल _ ब ा द
1687,B A R B E R T O N _ F R I E N D S,ब ा र ् ब े र ट ॉ न _ फ ् र े ं ड स
1688,A N M O L _ S I T A R E Y,अ न म ो ल _ स ि त ा र े
1689,B R A H M A P U T R A,ब ् र ह ् म प ु त ् र
1690,D I V A N,द ि व ा न
1691,T H O M A S _ R O A D _ B A P T I S T,थ ॉ म स _ र ो ड _ ब ै प ट ि स ् ट
1692,C E N T R A L _ C H R O N I C L E,स े ं ट ् र ल _ क ् र ॉ न ‍ ि क ल
1693,S O C I É T É _ G É N É R A L E,स ो स ा य ट ी _ ज न र ल
1694,S H A K U N T,श क ु ं त
1695,D A I S Y,ड े ज ी
1696,B U R N S,ब र ् न ् स
1697,J O H N _ V O N _ N E U M A N N _ T H E O R Y _ P R I Z E,ज ॉ न _ व ॉ न _ न ् य ु म े न _ थ ् य ो र ी _ प ् र ा इ ज़
1698,S H R E Y,श ् र े य
1699,S H A I T A N,श ै त ा न
1700,C O U N T _ D R A C U L A,क ा उ ं ट _ ड ् र ा क ् य ु ल ा
